name,year,team,position,specific_position,rating,is_fired,is_promoted,is_assistant_hc,is_interim_hc,is_interim_coordinator
"Alfonza ""Pep"" Hamilton, Jr.",2020,Chargers,Position,Quarterbacks Coach,5,,0,,,
Phil McGeoghan,2020,Chargers,Position,Wide Receivers Coach,5,,0,,,
James Campen,2020,Chargers,Position,Offensive Line Coach,5,,0,,,
Mark Ridgley,2020,Chargers,Position,Running Backs Coach,5,,0,,,
Alfredo Roberts,2020,Chargers,Position,Tight Ends Coach,5,,0,,,
Seth Ryan,2020,Chargers,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
Giff Smith,2020,Chargers,Position,Defensive Line Coach,5,,0,,,
Richard Smith,2020,Chargers,Position,Linebackers Coach,5,,0,,,
Ron Milus,2020,Chargers,Position,Defensive Backs Coach,5,,0,,,
Ryan Milus,2020,Chargers,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Brandon Staley,2021,Chargers,Head Coach,Head Coach,10,,0,,,
Joe Lombardi,2021,Chargers,Coordinator,Offensive Coordinator,7.5,,0,,,
Renaldo Hill,2021,Chargers,Coordinator,Defensive Coordinator,7.5,,0,,,
Derius Swinton II,2021,Chargers,Coordinator,Special Teams Coordinator,7.5,,0,,,
Frank Smith,2021,Chargers,Position,Offensive Run Game Coordinator,5,,0,,,
Shane Day,2021,Chargers,Position,Offensive Pass Game Coordinator,5,,0,,,
Jay Rodgers,2021,Chargers,Position,Defensive Run Game Coordinator,5,,0,,,
Chris Beatty,2021,Chargers,Position,Wide Receivers Coach,5,,0,,,
Derrick Foster,2021,Chargers,Position,Running Backs Coach,5,,0,,,
Kevin Koger,2021,Chargers,Position,Tight Ends Coach,5,,0,,,
Chandler Whitmer,2021,Chargers,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
Giff Smith,2021,Chargers,Position,Defensive Line Coach,5,,0,,,
Michael Wilhoite,2021,Chargers,Position,Linebackers Coach,5,,0,,,
Derrick Ansley,2021,Chargers,Position,Secondary Coach,5,,0,,,
Isaac Shewmaker,2021,Chargers,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Brandon Staley,2022,Chargers,Head Coach,Head Coach,10,,0,,,
Joe Lombardi,2022,Chargers,Coordinator,Offensive Coordinator,7.5,,0,,,
Renaldo Hill,2022,Chargers,Coordinator,Defensive Coordinator,7.5,,0,,,
Ryan Ficken,2022,Chargers,Coordinator,Special Teams Coordinator,7.5,,0,,,
Shane Day,2022,Chargers,Position,Offensive Pass Game Coordinator,5,,0,,,
Jay Rodgers,2022,Chargers,Position,Defensive Run Game Coordinator,5,,0,,,
Chris Beatty,2022,Chargers,Position,Wide Receivers Coach,5,,0,,,
Brendan Nugent,2022,Chargers,Position,Offensive Line Coach,5,,0,,,
Derrick Foster,2022,Chargers,Position,Running Backs Coach,5,,0,,,
Kevin Koger,2022,Chargers,Position,Tight Ends Coach,5,,0,,,
Chandler Whitmer,2022,Chargers,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
Michael Wilhoite,2022,Chargers,Position,Linebackers Coach,5,,0,,,
Giff Smith,2022,Chargers,Position,Outside Linebackers Coach,5,,0,,,
Derrick Ansley,2022,Chargers,Position,Secondary Coach,5,,0,,,
Isaac Shewmaker,2022,Chargers,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Brandon Staley,2023,Chargers,Head Coach,Head Coach,10,1,0,,,
Kellen Moore,2023,Chargers,Coordinator,Offensive Coordinator,7.5,,0,,,
Derrick Ansley,2023,Chargers,Coordinator,Defensive Coordinator,7.5,,0,,,
Ryan Ficken,2023,Chargers,Coordinator,Special Teams Coordinator,7.5,,0,,,
Tom Donatell,2023,Chargers,Position,Defensive Passing Game Coordinator,5,,0,,,
Jay Rodgers,2023,Chargers,Position,Defensive Run Game Coordinator,5,,0,,,
Doug Nussmeier,2023,Chargers,Position,Quarterbacks Coach,5,,0,,,
Chris Beatty,2023,Chargers,Position,Wide Receivers Coach,5,,0,,,
Brendan Nugent,2023,Chargers,Position,Offensive Line Coach,5,,0,,,
Derrick Foster,2023,Chargers,Position,Running Backs Coach,5,,0,,,
Kevin Koger,2023,Chargers,Position,Tight Ends Coach,5,,0,,,
Chandler Whitmer,2023,Chargers,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
Giff Smith,2023,Chargers,Position,Outside Linebackers Coach,5,,1,,1,
Jeff Howard,2023,Chargers,Position,Linebackers Coach,5,,0,,,
Jim Harbaugh,2024,Chargers,Head Coach,Head Coach,10,,0,,,
Greg Roman,2024,Chargers,Coordinator,Offensive Coordinator,7.5,,0,,,
Jesse Minter,2024,Chargers,Coordinator,Defensive Coordinator,7.5,,0,,,
Ryan Ficken,2024,Chargers,Coordinator,Special Teams Coordinator,7.5,,0,,,
Marcus Brady,2024,Chargers,Position,Passing Game Coordinator,5,,0,,,
Andy Bischoff,2024,Chargers,Position,Offensive Run Game Coordinator,5,,0,,,
Shane Day,2024,Chargers,Position,Quarterbacks Coach,5,,0,,,
Jonathan Goodwin,2024,Chargers,Position,Quarterbacks Coach,5,,0,,,
Sanjay Lal,2024,Chargers,Position,Wide Receivers Coach,5,,0,,,
Jeff Carpenter,2024,Chargers,Position,Wide Receivers Coach,5,,0,,,
Mike Devlin,2024,Chargers,Position,Offensive Line Coach,5,,0,,,
Kiel McDonald,2024,Chargers,Position,Running Backs Coach,5,,0,,,
Mike Elston,2024,Chargers,Position,Defensive Line Coach,5,,0,,,
Navorro Bowman,2024,Chargers,Position,Linebackers Coach,5,,0,,,
Chris O'Leary,2024,Chargers,Position,Safeties Coach,5,,0,,,
Steve Clinkscale,2024,Chargers,Position,Defensive Backs Coach,5,,0,,,
Robert Muschamp,2024,Chargers,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Sean McVay,2020,Rams,Head Coach,Head Coach,10,,0,,,
Joe Barry,2020,Rams,Position,Linebackers Coach,5,,0,1,,
Kevin O'Connell,2020,Rams,Coordinator,Offensive Coordinator,7.5,,0,,,
Brandon Staley,2020,Rams,Coordinator,Defensive Coordinator,7.5,,0,,,
John Bonamego,2020,Rams,Coordinator,Special Teams Coordinator,7.5,,0,,,
Aaron Kromer,2020,Rams,Position,Offensive Run Game Coordinator,5,,0,,,
Shane Waldron,2020,Rams,Position,Offensive Pass Game Coordinator,5,,0,,,
Eric Yarber,2020,Rams,Position,Wide Receivers Coach,5,,0,,,
Thomas Brown,2020,Rams,Position,Running Backs Coach,5,,0,,,
Wes Phillips,2020,Rams,Position,Tight Ends Coach,5,,0,,,
Zak Kromer,2020,Rams,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
Eric Henderson,2020,Rams,Position,Defensive Line Coach,5,,0,,,
Chris Shula,2020,Rams,Position,Outside Linebackers Coach,5,,0,,,
Ejiro Evero,2020,Rams,Position,Safeties Coach,5,,0,,,
Aubrey Pleasant,2020,Rams,Position,Cornerbacks Coach,5,,0,,,
Jonathan Cooley,2020,Rams,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Sean McVay,2021,Rams,Head Coach,Head Coach,10,,0,,,
Thomas Brown,2021,Rams,Position,Running Backs Coach,5,,0,1,,
Kevin O'Connell,2021,Rams,Coordinator,Offensive Coordinator,7.5,,0,,,
Raheem Morris,2021,Rams,Coordinator,Defensive Coordinator,7.5,,0,,,
Ejiro Evero,2021,Rams,Position,Defensive Pass Game Coordinator,5,,0,,,
Joe DeCamillis,2021,Rams,Coordinator,Special Teams Coordinator,7.5,,0,,,
Wes Phillips,2021,Rams,Position,Offensive Pass Game Coordinator,5,,0,,,
Eric Henderson,2021,Rams,Position,Defensive Run Game Coordinator,5,,0,,,
Eric Yarber,2021,Rams,Position,Wide Receivers Coach,5,,0,,,
Kevin Carberry,2021,Rams,Position,Offensive Line Coach,5,,0,,,
Chris Shula,2021,Rams,Position,Linebackers Coach,5,,0,,,
Sean McVay,2022,Rams,Head Coach,Head Coach,10,,0,,,
Thomas Brown,2022,Rams,Position,Tight Ends Coach,5,,0,1,,
Liam Coen,2022,Rams,Coordinator,Offensive Coordinator,7.5,,0,,,
Raheem Morris,2022,Rams,Coordinator,Defensive Coordinator,7.5,,0,,,
Joe DeCamillis,2022,Rams,Coordinator,Special Teams Coordinator,7.5,,0,,,
Chris Shula,2022,Rams,Position,Defensive Passing Game Coordinator,5,,0,,,
Zac Robinson,2022,Rams,Position,Offensive Pass Game Coordinator,5,,0,,,
Eric Henderson,2022,Rams,Position,Defensive Run Game Coordinator,5,,0,,,
Eric Yarber,2022,Rams,Position,Wide Receivers Coach,5,,0,,,
Kevin Carberry,2022,Rams,Position,Offensive Line Coach,5,,0,,,
Ra'Shaad Samples,2022,Rams,Position,Running Backs Coach,5,,0,,,
Thad Bogardus,2022,Rams,Position,Outside Linebackers Coach,5,,0,,,
Chris Beake,2022,Rams,Position,Inside Linebackers Coach,5,,0,,,
Jonathan Cooley,2022,Rams,Position,Defensive Backs Coach,5,,0,,,
Sean McVay,2023,Rams,Head Coach,Head Coach,10,,0,,,
Jimmy Lake,2023,Rams,Coordinator,Assistant Head Coach,7.5,,0,1,,
Mike LaFleur,2023,Rams,Coordinator,Offensive Coordinator,7.5,,0,,,
Raheem Morris,2023,Rams,Coordinator,Defensive Coordinator,7.5,,0,,,
Aubrey Pleasant,2023,Rams,Position,Defensive Pass Game Coordinator,5,,0,,,
Chase Blackburn,2023,Rams,Coordinator,Special Teams Coordinator,7.5,,0,,,
Zac Robinson,2023,Rams,Position,Offensive Pass Game Coordinator,5,,0,,,
Eric Henderson,2023,Rams,Position,Defensive Run Game Coordinator,5,,0,,,
Eric Yarber,2023,Rams,Position,Wide Receivers Coach,5,,0,,,
Ryan Wendell,2023,Rams,Position,Offensive Line Coach,5,,0,,,
Ron Gould,2023,Rams,Position,Running Backs Coach,5,,0,,,
Nick Caley,2023,Rams,Position,Tight Ends Coach,5,,0,,,
Chris Shula,2023,Rams,Position,Linebackers Coach,5,,0,,,
Joe Coniglio,2023,Rams,Position,Outside Linebackers Coach,5,,0,,,
Chris Beake,2023,Rams,Position,Secondary Coach,5,,0,,,
Sean McVay,2024,Rams,Head Coach,Head Coach,10,,0,,,
Aubrey Pleasant,2024,Rams,Position,Defensive Pass Game Coordinator,5,,0,1,,
Mike LaFleur,2024,Rams,Coordinator,Offensive Coordinator,7.5,,0,,,
Chris Shula,2024,Rams,Coordinator,Defensive Coordinator,7.5,,0,,,
Chase Blackburn,2024,Rams,Coordinator,Special Teams Coordinator,7.5,,0,,,
Nick Caley,2024,Rams,Position,Offensive Pass Game Coordinator,5,,0,,,
Giff Smith,2024,Rams,Position,Defensive Run Game Coordinator,5,,0,,,
Dave Ragone,2024,Rams,Position,Quarterbacks Coach,5,,0,,,
Eric Yarber,2024,Rams,Position,Wide Receivers Coach,5,,0,,,
Ryan Wendell,2024,Rams,Position,Offensive Line Coach,5,,0,,,
Ron Gould,2024,Rams,Position,Running Backs Coach,5,,0,,,
Joe Coniglio,2024,Rams,Position,Outside Linebackers Coach,5,,0,,,
Greg Williams,2024,Rams,Position,Inside Linebackers Coach,5,,0,,,
Chris Beake,2024,Rams,Position,Safeties Coach,5,,0,,,
Brian Flores,2020,Dolphins,Head Coach,Head Coach,10,,0,,,
Chan Gailey,2020,Dolphins,Coordinator,Offensive Coordinator,7.5,,0,,,
Josh Boyer,2020,Dolphins,Coordinator,Defensive Coordinator,7.5,,0,,,
Danny Crossman,2020,Dolphins,Coordinator,Special Teams Coordinator,7.5,,0,,,
Robby Brown,2020,Dolphins,Position,Quarterbacks Coach,5,,0,,,
Josh Grizzard,2020,Dolphins,Position,Wide Receivers Coach,5,,0,,,
Steve Marshall,2020,Dolphins,Position,Offensive Line Coach,5,,0,,,
Eric Studesville,2020,Dolphins,Position,Running Backs Coach,5,,0,,,
George Godsey,2020,Dolphins,Position,Tight Ends Coach,5,,0,,,
Marion Hobby,2020,Dolphins,Position,Defensive Line Coach,5,,0,,,
Anthony Campanile,2020,Dolphins,Position,Linebackers Coach,5,,0,,,
Austin Clark,2020,Dolphins,Position,Outside Linebackers Coach,5,,0,,,
Gerald Alexander,2020,Dolphins,Position,Defensive Backs Coach,5,,0,,,
Mike Judge,2020,Dolphins,Quality Control,Quality Control Coach,2.5,,0,,,
Kolby Smith,2020,Dolphins,Quality Control,Quality Control Coach,2.5,,0,,,
Brian Flores,2021,Dolphins,Head Coach,Head Coach,10,,0,,,
Danny Crossman,2021,Dolphins,Coordinator,Special Teams Coordinator,7.5,,0,1,,
Josh Boyer,2021,Dolphins,Coordinator,Defensive Coordinator,7.5,,0,,,
Eric Studesville,2021,Dolphins,Coordinator,Offensive Coordinator,7.5,,0,,,
George Godsey,2021,Dolphins,Coordinator,Offensive Coordinator,7.5,,0,,,
Charlie Frye,2021,Dolphins,Position,Quarterbacks Coach,5,,0,,,
Josh Grizzard,2021,Dolphins,Position,Wide Receivers Coach,5,,0,,,
Lemuel Jeanpierre,2021,Dolphins,Position,Offensive Line Coach,5,,0,,,
Austin Clark,2021,Dolphins,Position,Defensive Line Coach,5,,0,,,
Anthony Campanile,2021,Dolphins,Position,Linebackers Coach,5,,0,,,
Rob Leonard,2021,Dolphins,Position,Outside Linebackers Coach,5,,0,,,
Charles Burks,2021,Dolphins,Position,Cornerbacks Coach,5,,0,,,
Gerald Alexander,2021,Dolphins,Position,Defensive Backs Coach,5,,0,,,
Kolby Smith,2021,Dolphins,Quality Control,Quality Control Coach,2.5,,0,,,
Jordan Salkin,2021,Dolphins,Quality Control,Quality Control Coach,2.5,,0,,,
Mike McDaniel,2022,Dolphins,Head Coach,Head Coach,10,,0,,,
Jon Embree,2022,Dolphins,Position,Tight Ends Coach,5,,0,1,,
Eric Studesville,2022,Dolphins,Position,Running Backs Coach,5,,0,1,,
Frank Smith,2022,Dolphins,Coordinator,Offensive Coordinator,7.5,,0,,,
Josh Boyer,2022,Dolphins,Coordinator,Defensive Coordinator,7.5,,0,,,
Danny Crossman,2022,Dolphins,Coordinator,Special Teams Coordinator,7.5,,0,,,
Darrell Bevell,2022,Dolphins,Position,Offensive Pass Game Coordinator,5,,0,,,
Wes Welker,2022,Dolphins,Position,Wide Receivers Coach,5,,0,,,
Matt Applebaum,2022,Dolphins,Position,Offensive Line Coach,5,,0,,,
Austin Clark,2022,Dolphins,Position,Defensive Line Coach,5,,0,,,
Anthony Campanile,2022,Dolphins,Position,Linebackers Coach,5,,0,,,
Tyrone McKenzie,2022,Dolphins,Position,Outside Linebackers Coach,5,,0,,,
Steve Gregory,2022,Dolphins,Position,Safeties Coach,5,,0,,,
Sam Madison,2022,Dolphins,Position,Cornerbacks Coach,5,,0,,,
Josh Grizzard,2022,Dolphins,Quality Control,Quality Control Coach,2.5,,0,,,
Mike McDaniel,2023,Dolphins,Head Coach,Head Coach,10,,0,,,
Jon Embree,2023,Dolphins,Position,Tight Ends Coach,5,,0,1,,
Eric Studesville,2023,Dolphins,Position,Running Backs Coach,5,,0,1,,
Frank Smith,2023,Dolphins,Coordinator,Offensive Coordinator,7.5,,0,,,
Vic Fangio,2023,Dolphins,Coordinator,Defensive Coordinator,7.5,,0,,,
Renaldo Hill,2023,Dolphins,Position,Defensive Pass Game Coordinator,5,,0,,,
Danny Crossman,2023,Dolphins,Coordinator,Special Teams Coordinator,7.5,,0,,,
Darrell Bevell,2023,Dolphins,Position,Offensive Pass Game Coordinator,5,,0,,,
Wes Welker,2023,Dolphins,Position,Wide Receivers Coach,5,,0,,,
Butch Barry,2023,Dolphins,Position,Offensive Line Coach,5,,0,,,
Austin Clark,2023,Dolphins,Position,Defensive Line Coach,5,,0,,,
Anthony Campanile,2023,Dolphins,Position,Linebackers Coach,5,,0,,,
Ryan Slowik,2023,Dolphins,Position,Outside Linebackers Coach,5,,0,,,
Joe Kasper,2023,Dolphins,Position,Safeties Coach,5,,0,,,
Sam Madison,2023,Dolphins,Position,Cornerbacks Coach,5,,0,,,
Josh Grizzard,2023,Dolphins,Quality Control,Quality Control Coach,2.5,,0,,,
Mike McDaniel,2024,Dolphins,Head Coach,Head Coach,10,,0,,,
Jon Embree,2024,Dolphins,Position,Tight Ends Coach,5,,0,1,,
Eric Studesville,2024,Dolphins,Position,Running Backs Coach,5,,0,1,,
Frank Smith,2024,Dolphins,Coordinator,Offensive Coordinator,7.5,,0,,,
Anthony Weaver,2024,Dolphins,Coordinator,Defensive Coordinator,7.5,,0,,,
Brian Duker,2024,Dolphins,Position,Defensive Pass Game Coordinator,5,,0,,,
Danny Crossman,2024,Dolphins,Coordinator,Special Teams Coordinator,7.5,,0,,,
Darrell Bevell,2024,Dolphins,Position,Offensive Pass Game Coordinator,5,,0,,,
Joe Barry,2024,Dolphins,Position,Defensive Run Game Coordinator,5,,0,,,
Wes Welker,2024,Dolphins,Position,Wide Receivers Coach,5,,0,,,
Butch Barry,2024,Dolphins,Position,Offensive Line Coach,5,,0,,,
Austin Clark,2024,Dolphins,Position,Defensive Line Coach,5,,0,,,
Ryan Crow,2024,Dolphins,Position,Outside Linebackers Coach,5,,0,,,
Mathieu Araujo,2024,Dolphins,Position,Cornerbacks Coach,5,,0,,,
Ryan Slowik,2024,Dolphins,Position,Defensive Backs Coach,5,,0,,,
Mike Zimmer,2020,Vikings,Head Coach,Head Coach,10,,0,,,
Gary Kubiak,2020,Vikings,Coordinator,Offensive Coordinator,7.5,,0,,,
Andre Patterson,2020,Vikings,Coordinator,Defensive Coordinator,7.5,,0,,,
Adam Zimmer,2020,Vikings,Coordinator,Defensive Coordinator,7.5,,0,,,
Marwan Maalouf,2020,Vikings,Coordinator,Special Teams Coordinator,7.5,,0,,,
Rick Dennison,2020,Vikings,Position,Offensive Run Game Coordinator,5,,0,,,
Klint Kubiak,2020,Vikings,Position,Quarterbacks Coach,5,,0,,,
Andrew Janocko,2020,Vikings,Position,Wide Receivers Coach,5,,0,,,
Kennedy Polamalu,2020,Vikings,Position,Running Backs Coach,5,,0,,,
Brian Pariani,2020,Vikings,Position,Tight Ends Coach,5,,0,,,
AC Patterson,2020,Vikings,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
Daronte Jones,2020,Vikings,Position,Defensive Backs Coach,5,,0,,,
Nick Rallis,2020,Vikings,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Mike Zimmer,2021,Vikings,Head Coach,Head Coach,10,,0,,,
Andre Patterson,2021,Vikings,Coordinator,Defensive Coordinator,7.5,,0,1,,
Klint Kubiak,2021,Vikings,Coordinator,Offensive Coordinator,7.5,,0,,,
Adam Zimmer,2021,Vikings,Coordinator,Defensive Coordinator,7.5,,0,,,
Ryan Ficken,2021,Vikings,Coordinator,Special Teams Coordinator,7.5,,0,,,
Andrew Janocko,2021,Vikings,Position,Quarterbacks Coach,5,,0,,,
Keenan McCardell,2021,Vikings,Position,Wide Receivers Coach,5,,0,,,
Phil Rauscher,2021,Vikings,Position,Offensive Line Coach,5,,0,,,
Kennedy Polamalu,2021,Vikings,Position,Running Backs Coach,5,,0,,,
Brian Pariani,2021,Vikings,Position,Tight Ends Coach,5,,0,,,
Christian Jones,2021,Vikings,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
AC Patterson,2021,Vikings,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
Karl Scott,2021,Vikings,Position,Defensive Backs Coach,5,,0,,,
Nick Rallis,2021,Vikings,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Sam Siefkes,2021,Vikings,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Kevin O'Connell,2022,Vikings,Head Coach,Head Coach,10,,0,,,
Mike Pettine,2022,Vikings,Coordinator,Assistant Head Coach,7.5,,0,1,,
Wes Phillips,2022,Vikings,Coordinator,Offensive Coordinator,7.5,,0,,,
Ed Donatell,2022,Vikings,Coordinator,Defensive Coordinator,7.5,,0,,,
Matt Daniels,2022,Vikings,Coordinator,Special Teams Coordinator,7.5,,0,,,
Curtis Modkins,2022,Vikings,Position,Offensive Run Game Coordinator,5,,0,,,
Brian Angelichio,2022,Vikings,Position,Offensive Pass Game Coordinator,5,,0,,,
Chris O'Hara,2022,Vikings,Position,Quarterbacks Coach,5,,0,,,
Keenan McCardell,2022,Vikings,Position,Wide Receivers Coach,5,,0,,,
Chris Kuper,2022,Vikings,Position,Offensive Line Coach,5,,0,,,
Derron Montgomery,2022,Vikings,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
Chris Rumph,2022,Vikings,Position,Defensive Line Coach,5,,0,,,
Mike Smith,2022,Vikings,Position,Outside Linebackers Coach,5,,0,,,
Greg Manusky,2022,Vikings,Position,Inside Linebackers Coach,5,,0,,,
Roy Anderson,2022,Vikings,Position,Safeties Coach,5,,0,,,
Daronte Jones,2022,Vikings,Position,Defensive Backs Coach,5,,0,,,
Steve Donatell,2022,Vikings,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Kevin O'Connell,2023,Vikings,Head Coach,Head Coach,10,,0,,,
Mike Pettine,2023,Vikings,Coordinator,Assistant Head Coach,7.5,,0,1,,
Wes Phillips,2023,Vikings,Coordinator,Offensive Coordinator,7.5,,0,,,
Brian Flores,2023,Vikings,Coordinator,Defensive Coordinator,7.5,,0,,,
Matt Daniels,2023,Vikings,Coordinator,Special Teams Coordinator,7.5,,0,,,
Curtis Modkins,2023,Vikings,Position,Offensive Run Game Coordinator,5,,0,,,
Brian Angelichio,2023,Vikings,Position,Offensive Pass Game Coordinator,5,,0,,,
Chris O'Hara,2023,Vikings,Position,Quarterbacks Coach,5,,0,,,
Keenan McCardell,2023,Vikings,Position,Wide Receivers Coach,5,,0,,,
Chris Kuper,2023,Vikings,Position,Offensive Line Coach,5,,0,,,
Derron Montgomery,2023,Vikings,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
Chris Rumph,2023,Vikings,Position,Defensive Line Coach,5,,0,,,
Mike Smith,2023,Vikings,Position,Outside Linebackers Coach,5,,0,,,
Mike Siravo,2023,Vikings,Position,Inside Linebackers Coach,5,,0,,,
Daronte Jones,2023,Vikings,Position,Defensive Backs Coach,5,,0,,,
Lance Bennett,2023,Vikings,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Kevin O'Connell,2024,Vikings,Head Coach,Head Coach,10,,0,,,
Mike Pettine,2024,Vikings,Coordinator,Assistant Head Coach,7.5,,0,1,,
Wes Phillips,2024,Vikings,Coordinator,Offensive Coordinator,7.5,,0,,,
Brian Flores,2024,Vikings,Coordinator,Defensive Coordinator,7.5,,0,,,
Matt Daniels,2024,Vikings,Coordinator,Special Teams Coordinator,7.5,,0,,,
Brian Angelichio,2024,Vikings,Position,Offensive Passing Game Coordinator,5,,0,,,
Daronte Jones,2024,Vikings,Position,Defensive Passing Game Coordinator,5,,0,,,
Curtis Modkins,2024,Vikings,Position,Offensive Run Game Coordinator,5,,0,,,
Josh McCown,2024,Vikings,Position,Quarterbacks Coach,5,,0,,,
Keenan McCardell,2024,Vikings,Position,Wide Receivers Coach,5,,0,,,
Chris Kuper,2024,Vikings,Position,Offensive Line Coach,5,,0,,,
Derron Montgomery,2024,Vikings,Quality Control,Offensive Quality Control Coach,2.5,,0,,,
Marcus Dixon,2024,Vikings,Position,Defensive Line Coach,5,,0,,,
Mike Siravo,2024,Vikings,Position,Inside Linebackers Coach,5,,0,,,
Michael Hutchings,2024,Vikings,Position,Safeties Coach,5,,0,,,
Lance Bennett ,2024,Vikings,Quality Control,Defensive Quality Control Coach,2.5,,0,,,
Bill Belichick,2020,Patriots,Head Coach,Head Coach,10,,0,,,
Josh McDaniels,2020,Patriots,Coordinator,Offensive Coordinator,7.5,,0,,,
Cameron Achord,2020,Patriots,Coordinator,Special Teams Coordinator,7.5,,0,,,
Jedd Fisch,2020,Patriots,Position,Quarterbacks Coach,5,,0,,,
Mick Lombardi,2020,Patriots,Position,Wide Receivers Coach,5,,0,,,
Cole Popovich,2020,Patriots,Position,Offensive Line Coach,5,,0,,,
Carmen Bricillo,2020,Patriots,Position,Offensive Line Coach,5,,0,,,
Ivan Fears,2020,Patriots,Position,Running Backs Coach,5,,0,,,
Troy Brown,2020,Patriots,Position,Running Backs Coach,5,,0,,,
Nick Caley,2020,Patriots,Position,Tight Ends Coach,5,,0,,,
DeMarcus Covington,2020,Patriots,Position,Defensive Line Coach,5,,0,,,
Steve Belichick,2020,Patriots,Position,Outside Linebackers Coach,5,,0,,,
Jerod Mayo,2020,Patriots,Position,Inside Linebackers Coach,5,,0,,,
Brian Belichick,2020,Patriots,Position,Safeties Coach,5,,0,,,
Mike Pellegrino,2020,Patriots,Position,Cornerbacks Coach,5,,0,,,
Bill Belichick,2021,Patriots,Head Coach,Head Coach,10,,0,,,
Josh McDaniels,2021,Patriots,Coordinator,Offensive Coordinator,7.5,,0,,,
Cameron Achord,2021,Patriots,Coordinator,Special Teams Coordinator,7.5,,0,,,
Mick Lombardi,2021,Patriots,Position,Wide Receivers Coach,5,,0,,,
Troy Brown,2021,Patriots,Position,Wide Receivers Coach,5,,0,,,
Carmen Bricillo,2021,Patriots,Position,Offensive Line Coach,5,,0,,,
Ivan Fears,2021,Patriots,Position,Running Backs Coach,5,,0,,,
Vinnie Sunseri,2021,Patriots,Position,Running Backs Coach,5,,0,,,
Nick Caley,2021,Patriots,Position,Tight Ends Coach,5,,0,,,
DeMarcus Covington,2021,Patriots,Position,Defensive Line Coach,5,,0,,,
Steve Belichick,2021,Patriots,Position,Outside Linebackers Coach,5,,0,,,
Jerod Mayo,2021,Patriots,Position,Inside Linebackers Coach,5,,0,,,
Brian Belichick,2021,Patriots,Position,Safeties Coach,5,,0,,,
Mike Pellegrino,2021,Patriots,Position,Cornerbacks Coach,5,,0,,,
Bo Hardegree,2021,Patriots,Quality Control,Quality Control Coach,2.5,,0,,,
Bill Belichick,2022,Patriots,Head Coach,Head Coach,10,,0,,,
Cameron Achord,2022,Patriots,Coordinator,Special Teams Coordinator,7.5,,0,,,
Joe Judge,2022,Patriots,Position,Quarterbacks Coach,5,,0,,,
Troy Brown,2022,Patriots,Position,Wide Receivers Coach,5,,0,,,
Matt Patricia,2022,Patriots,Position,Offensive Line Coach,5,,0,,,
Vinnie Sunseri,2022,Patriots,Position,Running Backs Coach,5,,0,,,
Nick Caley,2022,Patriots,Position,Tight Ends Coach,5,,0,,,
DeMarcus Covington,2022,Patriots,Position,Defensive Line Coach,5,,0,,,
Steve Belichick,2022,Patriots,Position,Outside Linebackers Coach,5,,0,,,
Jerod Mayo,2022,Patriots,Position,Inside Linebackers Coach,5,,0,,,
Brian Belichick,2022,Patriots,Position,Safeties Coach,5,,0,,,
Mike Pellegrino,2022,Patriots,Position,Cornerbacks Coach,5,,0,,,
Bill Belichick,2023,Patriots,Head Coach,Head Coach,10,,0,,,
Joe Judge,2023,Patriots,Coordinator,Assistant Head Coach,7.5,,0,1,,
Bill O'Brien,2023,Patriots,Coordinator,Offensive Coordinator,7.5,,0,,,
Cameron Achord,2023,Patriots,Coordinator,Special Teams Coordinator,7.5,,0,,,
Troy Brown,2023,Patriots,Position,Wide Receivers Coach,5,,0,,,
Ross Douglas,2023,Patriots,Position,Wide Receivers Coach,5,,0,,,
Adrian Klemm,2023,Patriots,Position,Offensive Line Coach,5,,0,,,
Vinnie Sunseri,2023,Patriots,Position,Running Backs Coach,5,,0,,,
Will Lawing,2023,Patriots,Position,Tight Ends Coach,5,,0,,,
DeMarcus Covington,2023,Patriots,Position,Defensive Line Coach,5,,0,,,
Steve Belichick,2023,Patriots,Position,Linebackers Coach,5,,0,,,
Jerod Mayo,2023,Patriots,Position,Linebackers Coach,5,,0,,,
Brian Belichick,2023,Patriots,Position,Safeties Coach,5,,0,,,
Mike Pellegrino,2023,Patriots,Position,Cornerbacks Coach,5,,0,,,
Jerod Mayo,2024,Patriots,Head Coach,Head Coach,10,,0,,,
